,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
56,Ski03,1920,mil,0.4,0.1,0.29100000000000004,0.2606,0.2606,0.2606,0.7388,0.1225,0,0,1,0.12,0.74,13.77,0,823,290,0,0,1113,1114.0,1113
57,Ski03,1920,kcf,0.4,0.1,0.086,0.6146,0.6146,0.8424,0.1149,0.1989,0,0,1,0.16,0.39,20.77,0,128,684,301,0,1113,1114.0,812
58,Ski03,1920,tld,0.4,0.1,0.2064,0.4034,0.4034,0.4034,0.5961,0.2172,0,1,0,0.35,0.6,7.3,0,664,449,0,0,1113,1114.0,1113
59,Ski03,1920,medianflow,0.4,0.1,0.079,0.4627,0.4627,0.8188,0.1023,0.4018,0,1,0,0.53,0.54,37.98,0,114,515,484,0,1113,1114.0,629
60,Ski03,1920,mosse,0.4,0.1,0.0695,0.9928,0.9928,0.9928,0.0072,0.1212,0,0,1,0.1,0.01,38.37,0,8,1105,0,0,1113,1114.0,1113
61,Ski03,1920,csrt,0.4,0.1,0.013000000000000001,1.0,1.0,1.0,0.0,0.396,0,1,0,0.33,0.0,15.61,0,0,1113,0,0,1113,1114.0,1113
62,Ski03,1920,goturn,0.4,0.1,0.0073,1.0,1.0,1.0,0.0,0.5091,1,0,0,0.83,0.0,13.8,0,0,1113,0,0,1113,1114.0,1113
63,Ski04,720,mil,0.4,0.1,0.0098,1.0,1.0,1.0,0.0,0.5183,0,1,0,0.77,0.0,17.83,0,0,253,0,0,253,254.0,253
64,Ski04,720,kcf,0.4,0.1,0.0109,0.253,0.253,1.0,0.0,0.4766,0,1,0,0.55,0.75,96.49,0,0,64,189,0,253,254.0,64
65,Ski04,720,tld,0.4,0.1,0.0097,1.0,1.0,1.0,0.0,0.5737,1,0,0,0.89,0.0,27.7,0,0,253,0,0,253,254.0,253
66,Ski04,720,medianflow,0.4,0.1,0.0129,1.0,1.0,1.0,0.0,0.5723,1,0,0,0.84,0.0,94.16,0,0,253,0,0,253,254.0,253
67,Ski04,720,goturn,0.4,0.1,0.025,1.0,1.0,1.0,0.0,0.3086,0,1,0,0.23,0.0,16.04,0,0,253,0,0,253,254.0,253
68,Ski04,720,mosse,0.4,0.1,0.0009,0.004,0.004,1.0,0.0,0.9578,1,0,0,1.0,1.0,111.81,0,0,1,252,0,253,254.0,1
69,Ski04,720,csrt,0.4,0.1,0.0116,1.0,1.0,1.0,0.0,0.4571,0,1,0,0.53,0.0,29.93,0,0,253,0,0,253,254.0,253
70,Bike02,1280,mil,0.4,0.1,0.0032,1.0,1.0,1.0,0.0,0.8021,1,0,0,1.0,0.0,14.85,0,0,98,0,0,98,99.0,98
